GEOID20,District
42035000100,76
42099000250,86
42099000260,86
42099000040,86
42099000150,86
42099000020,86
42003005041,38
42003000430,45
42003000411,45
42003002571,20
42007000985,16
42007000435,15
42007000975,16
42007001460,15
42007001040,16
42007000065,16
42099000065,86
42099000240,86
42099000120,86
42099000050,86
42099000270,86
42099000191,86
42007000780,12
42007000510,15
42007000550,15
42007001240,15
42007000015,16
42007000995,16
42007000500,15
42007001210,15
42007000075,16
42099000280,86
42099000330,86
42099000320,86
42099000080,86
42099000100,86
42007001480,15
42007001560,10
42007000055,16
42007001185,15
42007001380,15
42007001055,15
42007000440,15
42007001320,9
42007001175,15
42007001290,10
42007000405,10
42007001148,15
42007000155,16
42007001080,12
42003005880,19
4200300E010,38
4200300E140,25
42003003360,20
42003003700,35
4200300B030,27
42003000452,51
42003000441,51
42003000472,51
42003001200,38
42003001740,38
4200300B130,27
42067000200,82
42007001535,15
42007000265,16
42007000005,16
42003005291,46
42003003000,38
4200300H091,34
42003006390,36
4200300B600,27
4200300C440,19
42003009130,23
42003000770,28
42003003570,35
4200300B660,44
4200300A350,36
42003003070,38
42003000950,42
42003001451,27
4200300B720,44
42007001095,15
42007001340,15
42007000735,16
42007001400,15
42007000808,16
4200300B620,27
4200300B700,44
42003002920,21
42003002640,21
42003005370,32
42003005241,21
42001000400,193
42001000370,193
42117000130,68
42117000430,68
42117000460,68
42067000071,82
42117000320,68
42117000230,68
42117000392,68
42067000030,82
42067000010,82
42003003021,38
42003000050,21
4200300E685,30
4200300C860,19
42003003440,20
4200300A210,36
42003004940,45
42003002501,27
4200300A290,36
4200300B390,40
4200300D420,24
4200300D200,27
4200300F510,51
4200300D300,44
42003006500,19
42003006920,23
4200300E000,38
42003007390,23
42003007890,21
4200300B520,27
42003003580,35
4200300E135,25
42003005400,32
42003002190,46
4200300G670,35
42003003491,45
42003008340,32
4200300F641,45
42001000040,193
42001000120,91
42001000290,193
42001000180,91
42117000210,68
42055000105,89
42055000213,89
42055000280,89
42055000229,89
42055000226,89
42127000070,111
42127000190,139
42001000432,92
42001000410,193
42001000385,91
42001000440,193
42001000200,91
42001000460,193
42001000240,91
42001000078,91
42001000360,91
42001000350,91
42113000140,110
42113000010,110
42067000020,82
42067000120,82
42065000655,66
42065000475,66
42117000045,68
42055000670,90
42055000650,90
42029000690,74
42029000340,158
42067000110,82
42031000090,63
42073000555,10
42073000870,9
42073000770,9
42073000864,9
42073000010,10
42073000335,10
42073000700,10
42073000710,10
42073000862,9
42117000110,68
42031000280,63
42031000020,63
42031000290,63
42031000190,63
42061000330,81
42061000090,81
42061000110,81
42001000270,91
42055000690,90
42055000223,89
42055000620,90
42055000170,81
42061000340,81
42061000270,81
42061000500,81
42011001715,128
42011000208,126
42011000212,126
42011000730,126
42011001370,126
42011001520,129
42001000434,92
42055000200,90
42055000462,90
42055000140,89
42055000560,81
42055000610,90
42055000090,89
42055000050,90
42065000540,66
42065000690,66
42127000330,139
42031000340,63
42065000315,66
42031000370,63
42131000230,110
42131000090,110
42131000150,110
42131000120,110
42131000030,110
42127000010,111
42127000100,111
42127000110,139
42127000290,139
42127000310,139
42079001552,120
42079000920,116
42079000165,119
42079002635,121
42079000105,119
42079002025,118
42079002404,119
42079000095,121
42079001615,120
42079001760,119
42055000315,81
42055000546,193
42127000260,139
42031000010,63
42065000160,66
42079000132,119
42079001035,116
42031000310,63
42031000130,63
42031000350,63
42011000090,126
42011000080,126
42011001550,126
42011000770,126
42073000255,10
42079000975,116
42079000666,120
42079000596,121
42079002065,118
42079000825,116
42079000845,116
42079000152,119
42041000350,88
42041000770,193
42073000880,9
42073000485,10
42073000080,9
42079002655,121
42079001245,118
42079001625,120
42079000484,120
42079001225,118
42079000142,119
42079003045,121
42079001515,119
4200300C810,19
4200300C720,19
4200300C790,19
42003009010,34
42003003225,28
42003003233,28
42003000310,16
4200300A580,27
4200300A840,27
4200300E210,34
42003008030,32
42003005310,32
42003009710,23
42003003051,38
42061000450,81
42061000220,81
42061000140,81
42061000360,81
42061000380,81
42061000560,81
42003005721,32
42003006715,21
42003003870,35
42003005430,32
4200300A720,27
4200300D280,27
42003000624,51
4200300G170,40
42003009630,34
42003000930,42
42003002770,21
42003005812,28
42003003010,38
4200300A270,36
4200300F241,30
42057000080,78
42061000020,81
42073000160,9
42073000170,9
42073000940,9
42073000665,10
42073000990,9
42029000371,157
42029001715,156
42029001705,156
42029001540,156
42029001650,156
42029000860,13
42029001316,26
42003004510,40
4200300C980,20
4200300F270,30
42073000920,10
42073000840,9
42073000690,9
42053000100,65
42073001010,9
42073000760,9
42073000820,9
42073000150,10
42079002300,119
42079002755,121
42079002745,121
42079001235,118
42079000310,118
42079000442,118
42079001750,119
42079002445,118
42079000495,118
42079001005,116
42003005191,32
4200300G041,35
42031000180,63
42031000250,63
42065000130,66
42065000375,66
42065000275,66
42031000470,63
42065000590,66
42131000240,110
42029000570,74
42079002478,116
42079002325,119
42079000300,118
42079000555,121
42079001200,119
42079000229,117
42079002425,118
42079002815,121
42079002390,120
42079002935,121
42031000500,63
42065000020,66
42065000035,66
42065000620,66
42075000340,101
42075000130,101
42075000240,102
42075000170,101
42075000160,101
42075000062,101
42075000070,102
42075000370,102
42075000310,101
42075000260,102
42075000090,101
42075000190,102
42079002122,120
42079000352,120
42079000910,116
42079001420,119
42009000140,78
42113000060,110
42079001786,119
42061000120,81
42061000230,81
42009000030,78
42009000010,78
42009000340,78
42009000270,78
42009000390,78
42009000190,78
42009000065,78
42029000630,13
42061000370,81
42061000180,81
42061000460,81
42009000210,78
42117000060,68
42117000360,68
42029001300,74
42029000090,74
42029000320,156
42061000050,81
42077001210,132
42105000100,67
42105000170,67
42029000250,158
42029001250,167
42029001700,158
42029000740,13
42029000210,158
42057000110,78
42041000702,87
42041000630,199
42029001060,157
42029000715,74
42029000670,13
42029001520,156
42029001740,74
42009000230,78
42009000020,78
