GEOID20,District
420350303003021,6
420990306014081,6
420990306021095,6
420990305011016,6
420990304001026,6
420990306014018,6
420990306014015,6
420990306014049,6
420990305022026,6
420990306013046,6
420035130002025,4
420035638006006,3
420034340001003,3
420034142001020,2
420076048002004,2
420076026013008,2
420076049021003,2
420076021002033,2
420076050011004,2
420076046003009,2
420990303015020,6
420990304003018,6
420990306011010,6
420990305021046,6
420990305022007,6
420990305024061,6
420990305024038,6
420990302024029,6
420076051004056,2
420076032022021,2
420076032023008,2
420076014003010,2
420076045002025,2
420076048003014,2
420076055004022,2
420076054003009,2
420076046001005,2
420990304002024,6
420990306022112,6
420990303022008,6
420990303023017,6
420990301003096,6
420990306022066,6
420076021001014,2
420076052001007,2
420076057002010,2
420076033002033,2
420076055004005,2
420076010001011,2
420076027011003,2
420076026022008,2
420076058002010,2
420076033002042,2
420076058001010,2
420076053001038,2
420076034002013,2
420076041002011,2
420076051003035,2
420030103022036,3
420034890012005,3
420035261021013,4
420034135002016,2
420035520001006,4
420031914002015,3
420034753013010,3
420034753012003,3
420034753044009,3
420034928002044,4
420034868002002,4
420031915001031,3
420670703002004,6
420076025001046,2
420076021001074,2
420076037003006,2
420076057003004,2
420076057003005,2
420034550001022,3
420034911013017,3
420034911013011,3
420035648002004,3
420030405001021,3
420035631001031,3
420032614001016,3
420031401001010,3
420034100001004,2
420035519001095,4
420035626002035,3
420031610001003,3
420034911011002,3
420034688001018,3
420034656001006,3
420035625001042,3
420076025001038,2
420076028003009,2
420076027011007,2
420076027023022,2
420076038031012,2
420076016002024,2
420076035001011,2
420035626002068,3
420035520002001,4
420035626001017,3
420034150012002,2
420034141014001,2
420035252002003,4
420034212003005,3
420010307001017,7
420010303002052,7
420010303002051,7
421179509002109,6
421179508003028,6
421179503003009,6
420670702012022,6
421179506001018,6
421179510002089,6
421179510001079,6
420670701012018,6
420670701012044,6
420670702024038,6
420670701012002,6
420670702012039,6
420034912001021,3
420034230002009,3
420034297001014,3
420032708002011,3
420034134003002,2
420031609001004,3
420034610001014,3
420034690002025,3
420031608001015,3
420031918003002,3
420032904002008,3
420035631002011,3
420034900023004,3
420035630002003,3
420030509001016,3
420030605001010,3
420034890012003,3
420030806001010,3
420031014001020,3
420031917001001,3
420035521001020,4
420035261012042,4
420035231001016,3
420034520003026,3
420035030021031,4
420034644002043,3
420031106003009,3
420034621001013,3
420010308011002,7
420010314022071,7
420010302001111,7
420010304003023,7
421179501004021,6
420550110004005,7
420550105023014,7
420550107013066,7
420550104012009,7
420550105011013,7
421279603002042,10
421279610023014,10
420010301041031,7
420010309011025,7
420010312013055,7
420010306003013,7
420010312022020,7
420010302001090,7
420010303002078,7
420010302002034,7
420010315023039,7
420010316005060,7
420010303001021,7
420010311012038,7
420010311012023,7
420010311011018,7
421139601011075,6
421139601023056,6
420670703001097,6
420670704002030,6
420670703001000,6
420659508002072,1
420659507001003,1
420659508002054,1
420659507003055,1
421179507004041,6
420550123003002,7
420550124002021,7
420550105011030,7
420293071001048,14
420293035021008,14
420670702021111,6
420311606005049,1
420730007002020,2
420730109003014,2
420730101001021,2
420730110002000,2
420730112001013,2
420730007002027,2
420730001002031,2
420730113001081,2
420730113002018,2
420730110001012,2
421179509004039,6
420311608001066,1
420311604001074,1
420311604001062,1
420311608003028,2
420311602022040,1
420619509001033,6
420619512004048,6
420619512001075,6
420010302002052,7
420010317001071,7
420010304003053,7
420550122002014,7
420550105012023,7
420550105023033,7
420550121003001,7
420550121003011,7
420550101001035,7
420619509002015,6
420619503011001,6
420619502003015,6
421179501004036,6
420110112003006,17
420110102011049,17
420110102011025,17
420110126002010,17
420110002003010,17
420110109051026,17
420010301042028,7
420010301042069,7
420010303001070,7
420010309011005,7
420010311012027,7
420010303001019,7
421279610022006,10
420550118003017,7
420550115001017,7
420550108001017,7
420550118003035,7
420550114001016,7
420550125011014,7
420550109001049,7
420550117013010,7
420659502003023,1
420659509002062,1
421279613001071,10
420311605003080,1
420659506001028,1
420311608002125,1
420311602022036,1
421314004002038,10
421314002003080,10
421314007002040,10
421314002003017,10
421314006001010,10
421279606002014,10
421279613001112,10
421279605004002,10
421279613002059,10
421279612021044,10
421279609004035,10
420792123003022,10
420792175002031,9
420792162002028,9
420792015001017,10
420792164002023,9
420792120002012,10
420792165023025,9
420792153003033,9
420792142002011,9
420792159002048,9
420550113012022,7
420550103022017,7
421279611011026,10
420311603003060,1
420659502003008,1
420659503005033,1
420792166011010,9
420792177003055,9
421010203001013,13
421010023001000,15
421010149002000,13
421010144004007,13
421010264001010,16
421010266001016,16
421010082006008,15
421010321002002,13
421010188022007,13
421010188013006,13
421010067003016,15
421010344002005,13
421010263021004,16
421010019003010,15
421019800021087,13
421010355001009,12
420311608002127,2
420311605003012,1
420311603001046,1
420311603002057,1
420311608003073,2
420311608002059,1
421010169023002,13
421010030013001,15
421010030014004,15
421010019001004,15
421010363011019,12
421010100002003,15
421010114001007,15
421010114006013,15
421010134023004,13
421010134023003,13
421010214003002,16
421010136012008,13
421010105002018,15
